0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,85,85,85,85,83,83,83,83,83,83,83,83,83
Reserves,"7,698","9,244","10,549","11,993","11,518","11,725","12,601","15,109","16,900","18,253","20,391","24,157","26,824"
Borrowings +,"2,100","2,666","3,126","3,085","2,355","2,589","1,065","1,457","1,214","2,205",51,793,"3,789"
Other Liabilities +,"2,106","2,513","2,696","2,422","2,491","2,704","2,499","2,827","3,431","3,954","4,850","5,326","5,963"
Total Liabilities,"11,989","14,508","16,456","17,585","16,447","17,100","16,248","19,476","21,630","24,496","25,375","30,359","36,660"
Fixed Assets +,"2,387","2,748","3,249","4,438","4,842","4,717","4,683","4,434","5,844","6,150","7,195","7,589","7,900"
CWIP,423,576,488,616,540,675,400,412,901,"1,200",924,"1,211","1,575"
Investments,"2,379","2,806","3,862","5,076","3,102","3,636","3,934","5,486","4,649","4,937","7,440","7,321","12,502"
Other Assets +,"6,800","8,377","8,856","7,455","7,963","8,072","7,231","9,145","10,235","12,208","9,815","14,239","14,682"
Total Assets,"11,989","14,508","16,456","17,585","16,447","17,100","16,248","19,476","21,630","24,496","25,375","30,359","36,660"
