0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"8,370","9,728","10,011","10,292","9,720","9,359","10,626","11,850","13,349","14,405","16,962","19,484","22,657"
Expenses +,"6,383","6,950","7,608","8,219","7,899","7,990","8,290","8,967","10,212","11,803","12,724","13,557","15,412"
Operating Profit,"1,987","2,778","2,403","2,073","1,820","1,370","2,336","2,883","3,137","2,602","4,238","5,926","7,246"
OPM %,24%,29%,24%,20%,19%,15%,22%,24%,24%,18%,25%,30%,32%
Other Income +,140,135,211,317,516,164,202,730,801,474,568,862,874
Interest,61,78,64,64,57,63,57,48,47,38,17,22,85
Depreciation,313,380,490,650,735,774,781,789,835,814,923,976,"1,021"
Profit before tax,"1,753","2,454","2,060","1,677","1,544",697,"1,701","2,776","3,056","2,224","3,866","5,791","7,013"
Tax %,28%,21%,18%,18%,10%,19%,25%,-6%,28%,27%,32%,25%,
Net Profit +,"1,266","1,933","1,679","1,374","1,384",567,"1,277","2,938","2,186","1,623","2,613","4,342","5,184"
EPS in Rs,14.90,22.73,19.71,16.11,16.70,6.83,15.38,35.36,26.29,19.51,31.38,52.06,62.14
Dividend Payout %,20%,16%,20%,25%,24%,59%,26%,14%,19%,31%,26%,15%,
