0,1,2,3,4,5,6,7
Equity Capital,181,181,181,181,181,181,189
Reserves,"1,597","1,734","2,121","1,532","1,661","1,754","2,639"
Borrowings +,"1,224","1,243","1,603","1,579","1,773","1,595",824
Other Liabilities +,576,713,958,"1,032","1,001","1,226","1,488"
Total Liabilities,"3,578","3,871","4,863","4,323","4,616","4,757","5,140"
Fixed Assets +,"1,100","1,166","1,147","1,151","1,433","1,718","1,670"
CWIP,406,326,192,239,253,106,150
Investments,311,408,864,563,690,684,684
Other Assets +,"1,761","1,971","2,660","2,369","2,240","2,248","2,636"
Total Assets,"3,578","3,871","4,863","4,323","4,616","4,757","5,140"
