0,1,2,3,4,5,6,7
Sales +,"2,454","2,376","3,107","3,387","3,107","3,498","4,006"
Expenses +,"1,883","1,948","2,367","2,593","2,668","3,056","3,515"
Operating Profit,570,428,740,795,439,442,491
OPM %,23%,18%,24%,23%,14%,13%,12%
Other Income +,56,89,90,133,119,129,139
Interest,127,137,118,145,167,166,128
Depreciation,130,155,154,166,179,205,224
Profit before tax,370,225,558,616,212,200,277
Tax %,23%,22%,25%,28%,25%,20%,
Net Profit +,284,175,420,447,160,161,207
EPS in Rs,15.68,9.69,23.25,24.71,8.85,8.88,11.08
Dividend Payout %,16%,26%,4%,12%,23%,23%,
