0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,719","3,122","3,510","3,658","3,878","4,488","5,417","4,939","4,773","5,697","6,768","7,871","8,676"
Expenses +,"2,382","2,720","3,104","3,219","3,407","3,897","4,685","4,196","4,041","4,968","5,988","6,865","7,533"
Operating Profit,336,402,406,438,471,590,732,742,732,729,779,"1,006","1,143"
OPM %,12%,13%,12%,12%,12%,13%,14%,15%,15%,13%,12%,13%,13%
Other Income +,20,25,38,21,13,-9,-5,36,2,-7,18,49,61
Interest,84,72,41,33,18,10,17,11,5,2,4,3,2
Depreciation,142,162,157,148,167,170,176,199,203,204,241,263,283
Profit before tax,131,193,246,279,299,402,535,568,526,516,552,790,919
Tax %,23%,22%,26%,25%,26%,32%,33%,25%,25%,26%,26%,26%,
Net Profit +,101,150,181,209,222,272,358,428,392,382,409,588,687
EPS in Rs,22.97,34.13,41.27,47.47,15.75,19.31,25.44,30.41,27.88,27.14,29.07,41.79,48.83
Dividend Payout %,3%,4%,7%,6%,16%,21%,22%,18%,22%,23%,24%,20%,
