0,1,2,3,4,5,6,7,8,9,10,11,12
Revenue,0,6,408,981,"1,543","2,112","2,645","3,194","3,460","4,162","5,486","6,112"
Interest,0,2,159,460,684,964,"1,150","1,396","1,421","1,617","2,407","2,904"
Expenses +,0,17,230,561,964,"1,015","1,304","1,628","2,123","2,361","2,681","3,721"
Financing Profit,-0,-13,19,-40,-105,133,191,170,-84,184,399,-513
Financing Margin %,"-1,100%",-208%,5%,-4%,-7%,6%,7%,5%,-2%,4%,7%,-8%
Other Income +,0,0,71,233,241,283,282,418,538,670,799,926
Depreciation,0,0,5,32,88,92,96,76,75,85,134,0
Profit before tax,-0,-13,85,161,49,324,377,511,378,769,"1,063",414
Tax %,0%,0%,0%,36%,34%,35%,35%,25%,26%,25%,25%,
Net Profit +,-0,-13,85,104,32,211,244,384,281,574,799,313
EPS in Rs,-3.96,-2.13,2.01,1.04,0.32,2.09,2.31,3.37,2.24,5.16,7.04,2.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,19%,14%,
