0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,901,896,940,"1,002","1,063","1,156","1,254","1,359","1,429","1,445","1,501","1,555","1,612"
Interest,360,343,360,393,416,449,511,593,644,659,699,753,794
Expenses +,529,540,587,602,571,685,662,680,715,758,974,"1,021",967
Financing Profit,12,13,-7,7,77,22,81,86,70,28,-173,-219,-149
Financing Margin %,1%,1%,-1%,1%,7%,2%,6%,6%,5%,2%,-12%,-14%,-9%
Other Income +,134,148,133,145,153,239,171,181,205,240,209,239,238
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,146,161,127,152,229,261,252,267,276,268,36,20,90
Tax %,26%,26%,23%,24%,26%,27%,24%,26%,27%,23%,28%,36%,26%
Net Profit +,108,120,97,116,170,190,191,198,202,208,26,13,66
EPS in Rs,0.94,0.95,0.77,0.93,1.36,1.71,1.72,1.77,1.79,1.83,0.23,0.11,0.58
Gross NPA %,4.39%,4.24%,4.10%,3.91%,3.63%,2.76%,2.75%,2.27%,2.53%,2.61%,2.73%,2.95%,2.97%
Net NPA %,2.38%,2.47%,2.15%,1.97%,1.82%,1.21%,1.18%,0.97%,1.13%,1.17%,0.83%,0.97%,0.96%
Raw PDF,,,,,,,,,,,,,
