0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,197","3,417","3,907","3,719","3,412","3,543","4,073","4,107","3,841","4,009","4,313","4,267","3,849"
Expenses +,"2,824","3,066","3,520","3,306","3,011","3,176","3,640","3,624","3,401","3,493","3,818","3,784","3,400"
Operating Profit,373,350,387,412,401,367,432,483,440,516,494,484,449
OPM %,12%,10%,10%,11%,12%,10%,11%,12%,11%,13%,11%,11%,12%
Other Income +,15,"4,733",32,36,23,41,19,39,23,3,14,53,13
Interest,8,11,7,6,8,8,10,12,14,13,9,10,12
Depreciation,104,107,109,112,115,119,119,126,127,125,126,127,124
Profit before tax,275,"4,966",303,330,301,281,322,385,321,382,374,399,325
Tax %,26%,17%,25%,25%,26%,26%,25%,25%,25%,26%,25%,25%,25%
Net Profit +,204,"4,120",226,246,223,208,242,287,240,284,280,298,245
EPS in Rs,2.40,48.47,2.66,2.90,2.63,2.44,2.85,3.38,2.83,3.34,3.29,3.50,2.88
Raw PDF,,,,,,,,,,,,,
