0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,353,369,611,612,645,659,656,702,633,863,"1,053","1,181","1,365"
Expenses +,353,449,758,737,792,697,780,633,605,747,919,988,"1,111"
Operating Profit,-0,-80,-148,-125,-146,-38,-123,69,28,116,134,193,254
OPM %,-0%,-22%,-24%,-20%,-23%,-6%,-19%,10%,4%,13%,13%,16%,19%
Other Income +,189,229,220,166,165,70,522,809,248,118,197,236,175
Interest,134,91,81,65,106,64,192,160,141,130,106,82,78
Depreciation,23,17,27,25,27,29,27,97,111,113,116,101,108
Profit before tax,32,41,-36,-50,-114,-60,180,621,24,-9,109,247,243
Tax %,46%,42%,-5%,-19%,-34%,6%,31%,17%,83%,48%,12%,19%,
Net Profit +,17,24,-34,-40,-75,-64,123,513,4,-13,96,199,174
EPS in Rs,0.43,0.52,-0.73,-0.87,-1.44,-1.23,1.63,6.80,0.06,-0.18,1.27,2.64,2.31
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,78%,38%,
