0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,228,210,247,266,262,277,289,294,291,307,333,357,367
Expenses +,190,191,215,228,226,250,254,255,242,238,275,297,300
Operating Profit,38,19,32,38,36,28,35,40,49,69,58,60,67
OPM %,17%,9%,13%,14%,14%,10%,12%,13%,17%,23%,17%,17%,18%
Other Income +,35,16,19,106,42,30,31,110,32,65,35,36,40
Interest,32,33,28,28,25,25,23,21,19,18,17,16,27
Depreciation,28,28,28,29,29,29,25,25,25,26,26,27,29
Profit before tax,14,-27,-5,87,24,3,18,104,36,90,50,52,51
Tax %,37%,-9%,51%,5%,18%,41%,27%,8%,36%,24%,47%,24%,22%
Net Profit +,9,-24,-8,82,19,2,13,95,23,68,27,40,40
EPS in Rs,0.11,-0.32,-0.10,1.09,0.26,0.03,0.17,1.26,0.30,0.91,0.36,0.52,0.52
Raw PDF,,,,,,,,,,,,,
