0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,755,991,994,"1,348","1,479","1,620","2,044","2,633","3,463","4,401","3,617","4,167","4,261"
Expenses +,519,630,678,845,854,"1,085","1,338","1,678","2,161","2,890","2,598","2,758","2,779"
Operating Profit,236,361,316,502,625,535,706,955,"1,302","1,511","1,019","1,410","1,481"
OPM %,31%,36%,32%,37%,42%,33%,35%,36%,38%,34%,28%,34%,35%
Other Income +,5,9,30,37,34,49,66,139,135,224,184,166,218
Interest,13,13,17,16,6,4,4,7,3,5,7,8,24
Depreciation,15,28,57,63,74,78,82,95,99,110,147,162,169
Profit before tax,213,327,272,459,578,502,686,993,"1,335","1,619","1,048","1,405","1,507"
Tax %,26%,32%,23%,32%,28%,36%,34%,22%,25%,25%,26%,26%,
Net Profit +,158,224,209,314,414,321,452,773,997,"1,212",776,"1,043","1,121"
EPS in Rs,134.45,190.40,133.53,202.40,267.01,207.24,291.65,49.88,60.94,73.78,47.11,63.34,68.05
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,32%,
