0,1,2,3,4,5,6,7,8,9
Sales +,"1,277","1,343","1,441","1,472","1,227","1,765","1,974","2,280","2,479"
Expenses +,"1,158","1,218","1,297","1,253","1,054","1,384","1,551","1,777","1,935"
Operating Profit,119,125,144,219,173,381,423,503,544
OPM %,9%,9%,10%,15%,14%,22%,21%,22%,22%
Other Income +,67,49,64,43,28,35,47,103,105
Interest,19,24,21,33,29,33,32,30,23
Depreciation,77,86,91,99,88,87,86,87,95
Profit before tax,89,64,97,131,84,296,352,489,531
Tax %,39%,42%,35%,22%,32%,26%,25%,26%,
Net Profit +,54,37,63,103,57,219,263,361,392
EPS in Rs,11.21,7.70,12.81,20.82,11.55,8.64,9.82,13.44,14.62
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
