0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,467,411,473,494,490,506,551,580,565,579,611,665,624
Expenses +,356,344,372,391,394,400,435,452,439,456,479,514,485
Operating Profit,111,67,101,103,95,106,115,128,126,122,132,150,140
OPM %,24%,16%,21%,21%,19%,21%,21%,22%,22%,21%,22%,23%,22%
Other Income +,8,12,8,13,13,25,27,26,23,33,27,24,22
Interest,7,6,7,7,6,6,6,6,6,6,6,5,6
Depreciation,22,22,22,22,22,20,20,22,22,23,23,25,23
Profit before tax,90,51,80,87,80,104,116,127,121,125,130,144,132
Tax %,24%,25%,27%,25%,26%,22%,26%,25%,28%,26%,26%,27%,25%
Net Profit +,68,38,58,65,59,81,86,95,87,92,96,104,99
EPS in Rs,2.69,1.50,2.30,2.58,2.19,3.02,3.21,3.54,3.25,3.44,3.59,3.89,3.70
Raw PDF,,,,,,,,,,,,,
