0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,890,913,921,964,"1,032","1,014",821,"1,009",984,940,852,568,842
Expenses +,698,707,725,778,794,797,664,801,738,751,675,465,674
Operating Profit,192,206,197,186,239,217,157,208,247,189,177,103,168
OPM %,22%,23%,21%,19%,23%,21%,19%,21%,25%,20%,21%,18%,20%
Other Income +,5,4,5,4,-1,3,0,1,1,3,2,3,6
Interest,3,4,4,8,12,14,15,18,20,20,18,15,17
Depreciation,31,32,35,35,38,38,35,36,36,36,36,35,38
Profit before tax,163,175,162,146,188,168,107,156,192,137,126,56,119
Tax %,25%,26%,23%,25%,25%,25%,25%,26%,26%,29%,25%,26%,24%
Net Profit +,121,129,125,109,140,125,80,116,143,97,94,41,90
EPS in Rs,4.89,5.21,5.03,4.39,5.78,5.18,3.30,4.79,5.89,4.01,3.87,1.71,3.72
Raw PDF,,,,,,,,,,,,,
