0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,725,"1,057","1,155",539,855,948,766,383,564,751,818,593,653
Expenses +,522,638,714,368,520,558,519,330,443,545,606,451,561
Operating Profit,202,420,441,171,336,390,247,53,121,206,212,142,93
OPM %,28%,40%,38%,32%,39%,41%,32%,14%,21%,27%,26%,24%,14%
Other Income +,39,40,47,53,56,236,61,77,60,71,60,62,115
Interest,1,1,1,1,2,-0,1,1,1,1,1,1,1
Depreciation,21,36,21,19,21,21,19,18,20,21,21,21,26
Profit before tax,220,423,466,204,369,606,288,111,161,254,250,183,180
Tax %,32%,58%,26%,26%,28%,27%,25%,31%,27%,20%,26%,29%,18%
Net Profit +,150,176,345,151,265,441,216,76,117,204,185,129,149
EPS in Rs,4.71,5.53,10.85,4.74,8.34,13.85,6.78,2.40,3.69,6.42,5.80,4.06,4.68
Raw PDF,,,,,,,,,,,,,
