0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,196","1,277","1,329","1,288","1,407","1,593","1,261","1,077",909,"1,222","1,350","2,209","2,091"
Expenses +,"1,054","1,177","1,184","1,162","1,277","1,467","1,166",999,841,"1,086","1,202","1,790","1,647"
Operating Profit,142,100,145,126,130,126,96,78,68,135,148,419,444
OPM %,12%,8%,11%,10%,9%,8%,8%,7%,8%,11%,11%,19%,21%
Other Income +,17,67,2,13,14,13,19,21,4,25,19,-12,0
Interest,93,76,71,68,46,41,31,22,14,7,6,12,12
Depreciation,40,39,51,50,48,46,44,40,38,35,34,39,42
Profit before tax,25,52,25,20,50,52,40,38,19,118,126,355,389
Tax %,19%,14%,42%,61%,32%,43%,37%,36%,25%,24%,24%,26%,
Net Profit +,20,45,15,8,34,30,25,24,15,89,96,264,287
EPS in Rs,0.81,1.78,0.58,0.31,1.34,1.07,0.91,0.87,0.53,3.23,3.45,9.52,10.35
Dividend Payout %,19%,11%,35%,81%,20%,23%,33%,35%,67%,12%,13%,5%,
