0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"12,518","16,497","17,153","13,435","19,318","22,073","26,012","32,666","35,673","40,638","46,276","48,118","49,750"
Expenses +,"7,927","9,186","10,294","8,299","11,465","12,734","15,594","19,902","21,238","25,526","30,033","31,242","32,401"
Operating Profit,"4,591","7,311","6,860","5,136","7,853","9,339","10,418","12,764","14,435","15,112","16,243","16,876","17,349"
OPM %,37%,44%,40%,38%,41%,42%,40%,39%,40%,37%,35%,35%,35%
Other Income +,472,659,"1,200",968,956,702,805,613,965,880,"1,031","1,076","1,250"
Interest,76,82,61,46,55,23,16,240,177,109,127,125,149
Depreciation,442,491,300,277,478,893,"1,276","1,959","2,813","2,615","2,431","2,371","2,347"
Profit before tax,"4,545","7,398","7,699","5,782","8,276","9,125","9,931","11,178","12,410","13,268","14,716","15,456","16,103"
Tax %,18%,19%,18%,18%,17%,19%,18%,20%,30%,18%,22%,24%,
Net Profit +,"3,705","5,985","6,346","4,719","6,873","7,362","8,185","8,969","8,743","10,874","11,459","11,674","11,984"
EPS in Rs,13.29,21.37,22.57,16.73,24.09,26.44,30.17,33.05,32.22,40.07,42.23,43.02,44.16
Dividend Payout %,23%,12%,66%,48%,50%,23%,13%,30%,31%,105%,114%,121%,
