0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,5,6,6,7,7,7,6,9,28,29,29,30,30
Reserves,27,63,79,84,156,143,-96,220,518,641,797,"1,444","1,472"
Borrowings +,19,37,48,71,95,138,406,150,193,250,543,512,"1,176"
Other Liabilities +,26,35,49,51,54,71,95,129,168,163,208,222,316
Total Liabilities,77,140,182,213,311,360,412,508,907,"1,083","1,576","2,208","2,993"
Fixed Assets +,7,8,7,8,11,44,61,38,29,63,199,203,210
CWIP,0,0,0,0,0,0,0,0,0,0,3,0,1
Investments,21,51,68,70,155,161,98,83,489,524,197,197,"1,010"
Other Assets +,49,82,107,135,145,155,252,387,389,495,"1,178","1,807","1,773"
Total Assets,77,140,182,213,311,360,412,508,907,"1,083","1,576","2,208","2,993"
