0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"4,169","4,661","5,171","5,359","6,110","8,139","10,068","9,429","10,428","13,889","16,868","18,550","20,648"
Expenses +,"3,630","3,990","4,445","4,574","5,284","7,087","8,840","8,364","8,845","12,116","15,244","16,666","18,623"
Operating Profit,539,671,726,786,826,"1,051","1,227","1,066","1,583","1,772","1,624","1,884","2,025"
OPM %,13%,14%,14%,15%,14%,13%,12%,11%,15%,13%,10%,10%,10%
Other Income +,5,38,51,270,75,127,123,105,188,159,177,249,310
Interest,29,51,43,42,12,24,55,51,90,67,55,84,46
Depreciation,58,64,88,105,120,140,149,218,249,261,296,338,384
Profit before tax,457,595,646,909,769,"1,015","1,146",902,"1,432","1,604","1,450","1,710","1,904"
Tax %,19%,20%,28%,22%,30%,30%,31%,19%,27%,26%,26%,26%,
Net Profit +,371,479,465,712,539,713,787,733,"1,040","1,195","1,075","1,273","1,415"
EPS in Rs,5.95,7.67,7.45,11.40,8.63,11.40,12.59,11.71,16.61,19.08,17.16,20.32,22.58
Dividend Payout %,25%,39%,40%,53%,41%,35%,36%,34%,39%,39%,44%,44%,
