0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,40,40,40,40,40,40,40,40,40,40,40,40,40
Reserves,"4,966","5,560","6,501","8,794","10,071","11,729","12,817","14,096","15,158","15,743","16,665","17,946","19,486"
Borrowings +,642,284,0,0,0,0,0,150,150,168,156,138,149
Other Liabilities +,"3,994","4,213","3,980","3,738","4,583","4,970","4,784","4,463","6,813","5,763","6,402","7,448","9,293"
Total Liabilities,"9,642","10,097","10,522","12,573","14,694","16,739","17,641","18,749","22,161","21,714","23,263","25,572","28,967"
Fixed Assets +,"3,071","2,243","2,913","3,584","4,396","4,655","4,619","6,117","5,988","5,806","5,761","5,834","6,231"
CWIP,62,854,713,605,465,318,542,341,437,458,464,481,133
Investments,"3,624","4,089","3,154","4,581","5,890","7,525","5,969","8,223","10,500","10,652","11,010","13,086","15,525"
Other Assets +,"2,885","2,911","3,742","3,802","3,944","4,241","6,512","4,068","5,236","4,797","6,028","6,171","7,078"
Total Assets,"9,642","10,097","10,522","12,573","14,694","16,739","17,641","18,749","22,161","21,714","23,263","25,572","28,967"
