0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"23,768","25,275","27,585","28,443","28,500","32,230","33,651","28,836","30,801","29,245","33,806","37,456","40,337"
Expenses +,"20,477","21,721","24,020","23,962","23,857","26,941","28,714","24,869","26,777","25,866","29,815","32,194","34,526"
Operating Profit,"3,292","3,554","3,565","4,481","4,644","5,289","4,937","3,967","4,024","3,379","3,991","5,261","5,811"
OPM %,14%,14%,13%,16%,16%,16%,15%,14%,13%,12%,12%,14%,14%
Other Income +,391,432,315,396,513,517,685,"1,447",575,547,560,727,"1,012"
Interest,12,12,11,5,6,6,9,22,22,26,20,18,20
Depreciation,"1,142","1,107",540,438,493,556,602,818,677,650,657,711,769
Profit before tax,"2,529","2,867","3,329","4,435","4,658","5,244","5,011","4,574","3,900","3,250","3,875","5,258","6,035"
Tax %,16%,26%,28%,29%,28%,30%,32%,21%,24%,24%,25%,25%,
Net Profit +,"2,118","2,109","2,386","3,160","3,377","3,697","3,385","3,633","2,964","2,473","2,911","3,968","4,545"
EPS in Rs,106.07,105.62,119.47,158.25,169.11,185.14,169.47,181.90,148.37,123.77,145.65,198.48,227.29
Dividend Payout %,57%,62%,50%,46%,50%,51%,51%,49%,71%,77%,69%,71%,
