0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,845,845,845,845,845,845,845,845,845,845,845,845,845
Reserves,"31,431","36,573","42,508","36,540","29,960","35,087","32,760","39,465","31,468","33,437","12,097","14,388","6,797"
Borrowings +,0,0,0,0,"7,908",0,"2,538",611,"7,201","2,844","11,881","8,722","14,016"
Other Liabilities +,"3,190","4,259","5,639","15,810","13,082","7,000","6,315","6,054","6,213","7,545","10,631","9,949","10,878"
Total Liabilities,"35,465","41,677","48,992","53,195","51,795","42,932","42,458","46,975","45,727","44,671","35,454","33,904","32,536"
Fixed Assets +,"8,484","9,147","9,446","10,385","9,993","11,302","14,778","16,469","16,808","17,396","17,620","18,055","17,657"
CWIP,"1,082","1,541","2,005","2,428","3,071","3,220","2,254","2,489","1,922","2,075","2,107","1,529","2,567"
Investments,"14,540","22,506","27,254","35,221","23,783","20,222","19,488","20,329","12,957","15,052","10,107","10,452","8,437"
Other Assets +,"11,360","8,482","10,288","5,161","14,948","8,188","5,938","7,688","14,040","10,148","5,620","3,868","3,875"
Total Assets,"35,465","41,677","48,992","53,195","51,795","42,932","42,458","46,975","45,727","44,671","35,454","33,904","32,536"
