0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,367","3,914","3,681","3,686","3,815","4,535","5,765","6,485","4,941","7,710","14,133","14,000","14,574"
Expenses +,"2,603","3,131","2,887","2,910","2,851","3,410","4,506","4,949","3,446","5,816","12,089","11,609","12,570"
Operating Profit,764,783,794,775,964,"1,125","1,259","1,536","1,495","1,894","2,044","2,391","2,004"
OPM %,23%,20%,22%,21%,25%,25%,22%,24%,30%,25%,14%,17%,14%
Other Income +,12,21,34,29,65,90,144,152,149,213,274,357,460
Interest,61,45,30,10,1,2,2,20,22,25,27,28,9
Depreciation,187,220,149,156,167,181,201,252,290,317,363,414,465
Profit before tax,528,540,649,638,861,"1,032","1,200","1,416","1,331","1,766","1,928","2,307","1,990"
Tax %,33%,33%,33%,34%,34%,35%,34%,20%,24%,26%,25%,24%,
Net Profit +,354,360,438,419,571,671,787,"1,137","1,006","1,315","1,445","1,748","1,501"
EPS in Rs,2.53,2.57,3.13,2.99,4.08,4.79,5.62,8.12,7.18,9.39,10.32,12.49,10.72
Dividend Payout %,22%,21%,19%,20%,21%,21%,21%,17%,25%,29%,63%,36%,
