0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"36,765","44,341","47,300","53,983","59,289","61,941","73,107","79,047","85,912","103,940","124,014","128,933","134,456"
Expenses +,"25,747","31,808","33,330","38,274","42,082","44,644","54,433","59,012","61,455","76,112","93,320","97,176","101,622"
Operating Profit,"11,018","12,533","13,970","15,709","17,207","17,297","18,674","20,035","24,457","27,828","30,694","31,757","32,834"
OPM %,30%,28%,30%,29%,29%,28%,26%,25%,28%,27%,25%,25%,24%
Other Income +,"2,298","2,576","3,749","3,006","3,062","4,019","2,852","2,700","2,467","3,224","3,859","7,417","6,942"
Interest,3,6,8,0,0,0,0,114,126,128,157,277,232
Depreciation,956,"1,101",913,"1,115","1,331","1,408","1,599","2,144","2,321","2,429","2,753","2,944","2,751"
Profit before tax,"12,357","14,002","16,798","17,600","18,938","19,908","19,927","20,477","24,477","28,495","31,643","35,953","36,793"
Tax %,26%,27%,28%,28%,27%,19%,26%,24%,26%,25%,26%,24%,
Net Profit +,"9,116","10,194","12,164","12,693","13,818","16,155","14,702","15,543","18,048","21,235","23,268","27,234","27,419"
EPS in Rs,19.84,22.30,26.48,27.63,30.08,36.98,33.65,36.49,42.36,50.48,56.09,65.61,66.04
Dividend Payout %,26%,35%,56%,44%,43%,59%,64%,48%,64%,61%,61%,70%,
