0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"27,337","27,426","29,527","31,567","32,389","30,531","31,811","32,629","32,491","32,001","33,283","34,257","34,915"
Expenses +,"19,897","20,457","22,596","23,624","24,517","22,583","23,877","24,635","24,377","24,286","25,119","25,856","26,361"
Operating Profit,"7,440","6,969","6,931","7,943","7,872","7,948","7,934","7,994","8,114","7,715","8,164","8,401","8,554"
OPM %,27%,25%,23%,25%,24%,26%,25%,24%,25%,24%,25%,25%,24%
Other Income +,"1,013",590,648,"1,267","1,177",766,"1,001","1,350","1,582","3,483",721,"1,737","1,001"
Interest,33,31,34,40,41,43,43,89,82,62,59,61,50
Depreciation,631,620,643,682,713,714,746,738,738,722,698,670,661
Profit before tax,"7,789","6,908","6,902","8,488","8,295","7,957","8,146","8,517","8,876","10,414","8,128","9,407","8,844"
Tax %,25%,25%,29%,26%,25%,26%,27%,27%,26%,19%,29%,28%,28%
Net Profit +,"5,870","5,177","4,901","6,253","6,210","5,904","5,956","6,245","6,552","8,480","5,768","6,813","6,358"
EPS in Rs,13.96,12.31,11.65,14.86,14.80,14.23,14.35,15.05,15.79,20.43,13.89,16.41,15.31
Raw PDF,,,,,,,,,,,,,
