0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,0,453,546,517,675,931,741,"1,003","1,255","1,470","1,679","1,533"
Expenses +,0,532,528,571,630,800,721,734,953,"1,227","1,378","1,301"
Operating Profit,0,-79,18,-54,45,132,21,269,302,243,301,232
OPM %,,-17%,3%,-10%,7%,14%,3%,27%,24%,17%,18%,15%
Other Income +,0,22,17,31,32,62,28,14,36,44,44,60
Interest,0,0,1,11,16,15,20,11,5,5,3,2
Depreciation,0,17,19,23,25,35,49,50,69,80,89,98
Profit before tax,0,-74,16,-56,35,143,-20,223,264,202,253,191
Tax %,,-4%,-69%,0%,6%,4%,58%,7%,24%,34%,34%,
Net Profit +,0,-71,26,-56,33,137,-31,207,202,134,166,132
EPS in Rs,,-5.79,2.13,-4.50,2.63,10.40,-2.36,15.59,15.02,9.87,12.10,9.62
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,17%,25%,29%,
