0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,315,349,362,348,348,411,424,408,421,427,385,334,387
Expenses +,257,269,287,311,301,336,334,344,351,358,314,304,325
Operating Profit,58,80,75,37,48,76,89,64,69,69,71,30,61
OPM %,18%,23%,21%,11%,14%,18%,21%,16%,16%,16%,19%,9%,16%
Other Income +,10,11,6,8,24,11,11,10,25,5,14,29,12
Interest,1,1,1,1,1,0,0,0,0,0,1,1,1
Depreciation,18,18,19,20,20,21,21,22,23,22,24,25,26
Profit before tax,50,72,61,25,51,65,79,51,72,51,61,33,46
Tax %,21%,28%,33%,32%,29%,39%,33%,30%,32%,45%,25%,27%,26%
Net Profit +,40,52,41,17,36,40,53,36,49,28,46,24,34
EPS in Rs,2.95,3.85,3.03,1.25,2.67,2.94,3.88,2.63,3.56,2.06,3.35,1.75,2.46
Raw PDF,,,,,,,,,,,,,
