0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"2,938","2,938","2,938","2,938","5,996","5,996","5,996","6,840","6,853","6,853","6,853","6,853","6,853"
Reserves,"3,506","3,392","3,441","4,677","3,897","3,369","2,992","3,391","3,760","3,869","3,928","4,615","5,145"
Borrowings +,"18,008","20,541","22,901","14,523","11,827","11,310","11,149","5,777","5,236","5,078","4,761","4,246","4,014"
Other Liabilities +,"2,492","2,463","2,739","1,917","2,496","3,099","3,831","1,688","1,467","1,869","2,089","1,583","1,629"
Total Liabilities,"26,945","29,334","32,020","24,054","24,215","23,775","23,969","17,696","17,317","17,670","17,632","17,297","17,642"
Fixed Assets +,"11,217","12,449","23,104","16,158","15,853","15,412","15,021","14,600","14,203","13,734","13,318","12,939","12,793"
CWIP,"9,120","9,913",358,146,158,159,131,140,77,61,91,132,109
Investments,"4,434","5,005","5,780","5,476","5,517","5,736","5,736","1,032",900,"1,022",972,757,757
Other Assets +,"2,174","1,967","2,778","2,273","2,688","2,468","3,080","1,924","2,137","2,853","3,251","3,470","3,983"
Total Assets,"26,945","29,334","32,020","24,054","24,215","23,775","23,969","17,696","17,317","17,670","17,632","17,297","17,642"
