0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,401","1,406","1,820","1,385","1,201","1,380","1,708","1,350","2,190","1,515","1,755","1,226","1,140"
Expenses +,"1,037","1,131","1,192","1,130","1,191","1,158","1,186",939,"1,613",788,965,840,850
Operating Profit,365,275,628,256,10,221,521,411,577,727,790,386,290
OPM %,26%,20%,35%,18%,1%,16%,31%,30%,26%,48%,45%,32%,25%
Other Income +,51,126,9,116,5,5,7,-70,-56,-290,24,78,116
Interest,136,143,150,138,135,137,119,117,105,109,109,110,97
Depreciation,121,119,116,117,117,115,115,116,117,116,118,120,116
Profit before tax,158,139,372,117,-238,-25,294,108,299,212,588,234,192
Tax %,32%,102%,35%,36%,-9%,67%,35%,36%,42%,-19%,41%,22%,35%
Net Profit +,107,-2,242,75,-217,-41,192,69,173,253,348,182,125
EPS in Rs,0.16,-0.00,0.35,0.11,-0.32,-0.06,0.28,0.10,0.25,0.37,0.51,0.27,0.18
Raw PDF,,,,,,,,,,,,,
