0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,41,43,45,46,80,96,96,97,97,105,165,165,165
Reserves,"1,435",147,-218,"1,590","1,661","2,256","2,379","2,560","3,055","9,341","11,292","13,535","14,558"
Borrowings +,"10,900","11,224","10,890","10,037","5,628","4,729","4,118","3,655","2,974","3,479","3,562","3,886","4,536"
Other Liabilities +,"4,150","4,278","2,813","2,654","2,902","3,084","3,429","3,796","4,138","8,409","11,096","9,932","11,656"
Total Liabilities,"16,526","15,693","13,530","14,328","10,271","10,164","10,021","10,108","10,265","21,334","26,115","27,518","30,915"
Fixed Assets +,"9,807","9,438","7,394","6,645","6,392","6,143","6,143","5,969","5,679","8,160","9,455","9,542","9,456"
CWIP,154,153,137,54,30,142,26,12,55,502,520,957,"1,342"
Investments,173,170,103,482,481,485,487,489,491,937,"1,172","2,804","3,196"
Other Assets +,"6,392","5,931","5,895","7,147","3,368","3,394","3,366","3,638","4,040","11,735","14,968","14,214","16,922"
Total Assets,"16,526","15,693","13,530","14,328","10,271","10,164","10,021","10,108","10,265","21,334","26,115","27,518","30,915"
