0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,93,91,91,91,92,97,97,102,102,101,100,100,101
Reserves,"12,255","12,973","12,420","22,974","21,675","22,696","22,452","23,607","32,540","40,259","40,456","45,393","48,412"
Borrowings +,"20,470","24,369","28,313","25,742","25,326","23,180","19,700","16,835","18,964","13,918","12,458","11,693","8,647"
Other Liabilities +,"6,992","5,774","5,346","11,789","13,002","14,104","15,424","18,331","17,525","20,884","14,015","14,830","15,252"
Total Liabilities,"39,810","43,208","46,170","60,597","60,094","60,077","57,672","58,875","69,131","75,162","67,030","72,017","72,412"
Fixed Assets +,"14,156","18,259","27,215","43,023","41,476","45,636","44,363","44,472","42,722","41,358","40,083","39,473","39,132"
CWIP,"11,484","11,663","3,563","5,686","7,529","2,689","1,624",851,604,760,"2,119","3,802","4,779"
Investments,"1,331","1,351","2,487","1,477","1,485","1,490","1,693","1,699","5,558","6,316","5,693","7,531","7,577"
Other Assets +,"12,839","11,935","12,905","10,411","9,603","10,261","9,992","11,853","20,248","26,728","19,135","21,211","20,924"
Total Assets,"39,810","43,208","46,170","60,597","60,094","60,077","57,672","58,875","69,131","75,162","67,030","72,017","72,412"
