0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,790","3,091","3,467","3,739","3,999","4,587","5,174","4,943","4,771","5,949","7,081","7,393","7,418"
Expenses +,"2,454","2,729","3,023","3,159","3,268","3,797","4,432","4,162","3,927","5,302","6,287","6,370","6,443"
Operating Profit,336,362,445,580,731,790,742,782,844,647,794,"1,023",975
OPM %,12%,12%,13%,16%,18%,17%,14%,16%,18%,11%,11%,14%,13%
Other Income +,131,10,22,563,98,72,62,27,28,21,31,735,595
Interest,0,0,0,0,0,0,0,5,8,10,10,12,15
Depreciation,47,65,68,68,69,76,90,120,149,154,165,180,190
Profit before tax,420,307,399,"1,075",759,786,713,684,714,505,650,"1,566","1,366"
Tax %,30%,33%,32%,16%,33%,34%,34%,22%,26%,26%,25%,24%,
Net Profit +,292,207,272,899,506,516,467,535,531,374,486,"1,183",999
EPS in Rs,3.62,2.56,3.36,11.12,6.26,6.39,5.78,6.62,6.56,4.63,6.02,14.63,12.36
Dividend Payout %,20%,29%,28%,18%,32%,27%,30%,32%,53%,32%,30%,26%,
