0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,506","1,548","1,782","2,053","1,922","2,153","2,044","2,136","2,148","2,351","2,246","2,325","2,412"
Expenses +,"1,157","1,203","1,402","1,645","1,518","1,702","1,615","1,680","1,693","1,861","1,801","1,902","1,939"
Operating Profit,348,345,380,408,405,451,428,456,455,490,446,422,473
OPM %,23%,22%,21%,20%,21%,21%,21%,21%,21%,21%,20%,18%,20%
Other Income +,37,42,41,38,73,49,48,42,64,50,64,68,30
Interest,10,10,10,9,11,10,11,11,13,13,13,12,15
Depreciation,46,45,51,51,52,50,51,62,65,68,66,72,69
Profit before tax,330,332,360,386,415,439,414,425,441,459,430,407,419
Tax %,26%,27%,27%,26%,32%,27%,28%,27%,27%,28%,27%,28%,28%
Net Profit +,243,242,264,286,281,323,300,308,321,329,313,293,301
EPS in Rs,23.03,22.92,24.98,27.07,26.60,30.56,28.35,29.17,30.36,31.14,29.54,27.68,28.41
Raw PDF,,,,,,,,,,,,,
