0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,59,67,61,65,68,70,69,72,74,77,79,82,88
Expenses +,34,34,37,40,41,44,47,48,51,49,53,54,66
Operating Profit,25,33,24,25,27,26,22,24,23,28,26,29,22
OPM %,42%,49%,40%,39%,40%,37%,31%,34%,31%,36%,32%,35%,25%
Other Income +,5,8,10,9,23,15,17,15,22,15,16,21,13
Interest,1,1,1,1,1,1,1,1,1,1,1,1,0
Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,2
Profit before tax,27,37,32,32,47,38,36,37,41,39,39,47,32
Tax %,21%,22%,24%,20%,21%,23%,27%,29%,24%,26%,28%,29%,30%
Net Profit +,22,29,24,26,37,30,26,26,31,29,28,33,22
EPS in Rs,1.09,1.45,1.22,1.29,1.84,1.45,1.29,1.28,1.52,1.42,1.35,1.61,1.07
Raw PDF,,,,,,,,,,,,,
