0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"20,419","24,815","32,290","24,608","26,557","25,365","21,173","19,353","24,667","25,329","23,247","24,968","21,871"
Expenses +,"18,702","21,874","27,576","26,603","26,270","21,875","19,105","17,215","23,508","22,999","22,641","25,442","20,840"
Operating Profit,"1,717","2,941","4,714","-1,995",287,"3,490","2,068","2,138","1,159","2,330",606,-474,"1,031"
OPM %,8%,12%,15%,-8%,1%,14%,10%,11%,5%,9%,3%,-2%,5%
Other Income +,43,-4,37,32,60,86,52,74,40,31,45,60,33
Interest,236,394,302,315,338,330,267,311,274,262,214,285,264
Depreciation,290,220,296,297,298,296,294,296,334,333,335,342,332
Profit before tax,"1,235","2,323","4,153","-2,576",-288,"2,950","1,559","1,606",591,"1,766",101,"-1,041",469
Tax %,53%,-30%,35%,-31%,-35%,35%,35%,34%,35%,36%,35%,-34%,35%
Net Profit +,586,"3,008","2,708","-1,789",-188,"1,908","1,013","1,059",387,"1,137",66,-682,304
EPS in Rs,3.35,17.16,15.45,-10.21,-1.07,10.89,5.78,6.04,2.21,6.49,0.37,-3.89,1.74
Raw PDF,,,,,,,,,,,,,
