0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,67.59,68.48,70.43,73.04,81.04,88.88,97.19,107.37,113.03,116.46,114.54,126.51,119.70
Expenses +,53.29,63.32,61.33,70.75,61.50,72.70,85.12,90.14,93.68,95.63,92.64,104.47,101.11
Operating Profit,14.30,5.16,9.10,2.29,19.54,16.18,12.07,17.23,19.35,20.83,21.90,22.04,18.59
OPM %,21.16%,7.54%,12.92%,3.14%,24.11%,18.20%,12.42%,16.05%,17.12%,17.89%,19.12%,17.42%,15.53%
Other Income +,9.83,23.42,-2.17,72.05,13.27,48.86,1.96,38.31,8.49,23.33,2.97,56.47,-17.61
Interest,0.10,0.11,0.17,0.12,0.06,0.09,0.19,0.14,0.11,0.65,1.36,1.33,1.00
Depreciation,3.10,3.65,3.55,3.73,2.95,2.80,2.98,3.25,3.41,3.86,3.98,3.97,2.37
Profit before tax,20.93,24.82,3.21,70.49,29.80,62.15,10.86,52.15,24.32,39.65,19.53,73.21,-2.39
Tax %,25.85%,19.18%,104.05%,13.35%,35.97%,16.15%,-47.24%,8.78%,27.80%,1.61%,26.42%,12.57%,-43.51%
Net Profit +,15.52,20.06,-0.13,61.08,19.08,52.11,15.99,47.57,17.56,39.01,14.37,64.01,-1.35
EPS in Rs,5.22,6.68,-0.04,20.31,6.34,17.07,5.23,15.52,5.73,12.65,4.66,20.74,-0.44
Raw PDF,,,,,,,,,,,,,
