0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,321","1,329","3,026","2,924","3,019","3,275","3,434","4,347","5,561","7,390","9,425","9,093","9,278"
Expenses +,"2,629","1,039","2,418","2,397","2,345","2,416","2,535","3,067","4,002","5,684","7,412","6,931","7,180"
Operating Profit,692,290,609,526,673,859,899,"1,281","1,559","1,705","2,013","2,162","2,098"
OPM %,21%,22%,20%,18%,22%,26%,26%,29%,28%,23%,21%,24%,23%
Other Income +,124,38,162,116,182,109,119,323,89,123,118,135,176
Interest,13,0,6,6,2,5,7,63,52,59,74,66,75
Depreciation,80,19,33,29,26,32,38,153,151,149,176,193,193
Profit before tax,723,307,732,607,826,930,973,"1,388","1,446","1,620","1,882","2,038","2,006"
Tax %,25%,27%,24%,25%,24%,20%,21%,13%,23%,24%,25%,29%,
Net Profit +,540,223,553,457,625,740,769,"1,205","1,110","1,235","1,414","1,446","1,462"
EPS in Rs,25.67,10.62,26.32,21.75,29.70,38.28,41.32,64.60,59.36,65.77,75.05,76.52,77.23
Dividend Payout %,66%,66%,61%,92%,57%,52%,65%,54%,110%,70%,67%,72%,
