0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"12,301","11,071","11,071","11,071","10,259","10,259","10,045","10,045","10,045","10,045","10,045","10,045","10,045"
Reserves,"15,540","14,997","17,216","18,690","16,683","18,092","19,170","19,939","21,558","23,441","25,363","27,224","28,656"
Borrowings +,"18,627","19,866","19,836","19,938","19,227","18,602","19,056","23,224","23,363","26,031","28,154","29,414","30,467"
Other Liabilities +,"8,062","8,068","6,189","5,720","6,148","8,623","11,347","11,414","11,300","10,787","11,156","12,125","12,490"
Total Liabilities,"54,530","54,002","54,312","55,419","52,317","55,577","59,617","64,621","66,266","70,303","74,718","78,808","81,658"
Fixed Assets +,"18,040","24,077","22,695","21,299","20,977","20,018","23,852","23,296","20,936","20,815","20,068","19,218","19,056"
CWIP,"19,709","14,657","16,055","16,579","17,350","18,814","14,898","16,098","17,853","20,574","25,315","29,975","31,998"
Investments,"2,651","2,479","2,235","1,689","2,100","2,210","2,362","3,401","3,922","5,414","5,698","6,368","7,372"
Other Assets +,"14,130","12,789","13,326","15,852","11,889","14,535","18,506","21,827","23,557","23,500","23,637","23,246","23,232"
Total Assets,"54,530","54,002","54,312","55,419","52,317","55,577","59,617","64,621","66,266","70,303","74,718","78,808","81,658"
