0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"30,266","34,358","40,026","41,015","41,411","41,318","39,122","40,875","39,455","42,532","44,419","40,328","41,352"
Expenses +,"20,555","23,647","30,311","31,880","29,905","30,208","28,185","30,338","29,514","31,198","32,576","30,651","29,752"
Operating Profit,"9,710","10,711","9,715","9,135","11,506","11,110","10,937","10,537","9,941","11,334","11,843","9,676","11,600"
OPM %,32%,31%,24%,22%,28%,27%,28%,26%,25%,27%,27%,24%,28%
Other Income +,896,"1,285",699,"1,608",738,"2,081",558,718,"2,299","2,548",634,"3,129",951
Interest,"1,983","2,142","2,173","2,350","2,874","2,582","2,515","2,465","2,783","2,488","2,649","3,108","2,203"
Depreciation,"3,099","3,197","3,144","3,287","3,312","3,393","3,260","3,464","3,491","3,728","3,654","3,647","3,722"
Profit before tax,"5,525","6,657","5,097","5,105","6,057","7,216","5,720","5,326","5,966","7,667","6,174","6,051","6,626"
Tax %,23%,16%,27%,35%,26%,21%,29%,27%,23%,28%,27%,23%,29%
Net Profit +,"4,246","5,618","3,717","3,331","4,476","5,672","4,066","3,885","4,572","5,556","4,511","4,649","4,711"
EPS in Rs,4.38,5.79,3.83,3.44,4.62,5.85,4.19,4.01,4.71,5.73,4.65,4.79,4.86
Raw PDF,,,,,,,,,,,,,
