0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,186,211,168,202,235,283,224,264,299,350,283,331,346
Expenses +,131,147,150,169,179,191,196,212,227,232,242,255,244
Operating Profit,55,64,18,33,56,92,28,52,72,118,41,76,103
OPM %,30%,30%,10%,16%,24%,32%,12%,20%,24%,34%,15%,23%,30%
Other Income +,7,6,10,7,9,7,12,8,11,14,22,19,6
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,4,4,4,6,6,6,6,6,6,7,7,7,8
Profit before tax,57,64,22,33,59,92,32,53,76,124,55,87,99
Tax %,20%,12%,15%,19%,22%,16%,15%,18%,14%,18%,23%,24%,16%
Net Profit +,46,56,19,27,46,77,27,44,65,101,42,66,84
EPS in Rs,3.26,4.01,1.35,1.93,3.27,5.51,1.94,3.12,4.66,7.22,3.02,4.70,5.97
Raw PDF,,,,,,,,,,,,,
