0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,752","2,345","2,122","2,043","2,097","2,321","2,265","2,185","1,996","2,493","2,202","1,971","2,017"
Expenses +,"1,585","2,061","1,874","1,898","1,898","2,092","2,016","1,950","1,725","2,148","1,929","1,805","1,836"
Operating Profit,167,283,247,145,199,229,249,236,271,345,273,166,181
OPM %,10%,12%,12%,7%,9%,10%,11%,11%,14%,14%,12%,8%,9%
Other Income +,35,34,26,22,25,-213,29,28,34,28,4,8,2
Interest,96,94,80,88,94,92,92,97,91,88,92,95,89
Depreciation,162,179,169,176,175,176,177,151,161,155,152,156,155
Profit before tax,-56,44,24,-96,-46,-252,9,16,53,130,33,-77,-61
Tax %,-36%,62%,34%,-31%,-43%,-166%,33%,-96%,42%,35%,35%,-31%,-27%
Net Profit +,-36,17,16,-66,-26,167,6,32,30,84,22,-53,-44
EPS in Rs,-1.01,0.47,0.44,-1.86,-0.73,4.67,0.17,0.90,0.85,2.37,0.61,-1.47,-1.24
Raw PDF,,,,,,,,,,,,,
