0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"4,278","4,278","4,278","4,278","6,417","6,417","6,290","6,290","6,290","6,290","6,290","6,290","6,290"
Reserves,"120,175","132,447","140,323","161,497","179,122","186,968","195,499","186,805","198,268","230,858","253,682","299,686","320,598"
Borrowings +,0,0,"1,393",0,0,"25,592","21,635","23,776","25,444","16,413","16,102","35,139","35,011"
Other Liabilities +,"54,128","63,105","62,586","56,654","62,070","72,631","76,750","87,038","89,125","84,410","94,474","105,644","97,863"
Total Liabilities,"178,581","199,830","208,580","222,428","247,608","291,608","300,175","303,908","319,127","337,971","370,548","446,760","459,762"
Fixed Assets +,"79,924","96,063","98,202","94,279","104,807","119,628","121,936","127,699","130,700","136,936","141,896","179,122","206,082"
CWIP,"24,891","25,558","28,579","33,896","34,956","35,384","35,050","36,226","40,949","41,971","48,928","53,114","30,545"
Investments,"9,173","17,204","18,124","39,831","54,150","85,731","84,882","79,086","81,376","85,173","84,986","105,569","111,019"
Other Assets +,"64,593","61,005","63,675","54,422","53,695","50,865","58,307","60,898","66,102","73,891","94,739","108,955","112,116"
Total Assets,"178,581","199,830","208,580","222,428","247,608","291,608","300,175","303,908","319,127","337,971","370,548","446,760","459,762"
