0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"28,473","34,497","42,321","38,321","38,583","36,293","33,814","35,163","34,788","34,637","35,266","33,881","33,717"
Expenses +,"13,622","18,448","17,590","22,229","19,779","23,361","15,377","18,010","19,454","18,746","18,292","16,856","16,674"
Operating Profit,"14,851","16,049","24,731","16,092","18,805","12,932","18,437","17,153","15,334","15,891","16,975","17,025","17,043"
OPM %,52%,47%,58%,42%,49%,36%,55%,49%,44%,46%,48%,50%,51%
Other Income +,"1,492","1,344",758,"3,529","1,411","-7,307","1,612","2,086","3,401","3,680","2,061","4,766","1,811"
Interest,582,580,636,667,690,708,"1,008","1,016","1,023","1,035","1,182","1,157","1,075"
Depreciation,"4,338","5,099","4,510","2,595","4,855","4,860","4,997","4,721","5,102","5,675","5,897","5,598","6,779"
Profit before tax,"11,423","11,714","20,343","16,359","14,672",57,"14,044","13,501","12,610","12,860","11,956","15,036","11,000"
Tax %,23%,24%,25%,22%,25%,-829%,25%,24%,22%,23%,25%,20%,25%
Net Profit +,"8,764","8,860","15,206","12,826","11,045",528,"10,527","10,238","9,892","9,869","8,938","11,984","8,240"
EPS in Rs,6.97,7.04,12.09,10.20,8.78,0.42,8.37,8.14,7.86,7.85,7.10,9.53,6.55
Raw PDF,,,,,,,,,,,,,
