0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,737","4,479","5,964","4,643","5,376","5,394","4,531","5,342","5,324","5,527","5,332","5,246","5,240"
Expenses +,"2,469","2,520","3,331","2,795","2,521","3,047","2,202","2,854","3,218","3,192","2,866","3,063","3,107"
Operating Profit,"1,267","1,958","2,633","1,848","2,855","2,348","2,329","2,488","2,106","2,336","2,466","2,183","2,133"
OPM %,34%,44%,44%,40%,53%,44%,51%,47%,40%,42%,46%,42%,41%
Other Income +,968,494,66,895,102,429,334,"-1,653",508,833,162,856,189
Interest,175,199,204,211,201,108,166,224,181,189,197,230,244
Depreciation,468,211,387,424,454,331,397,423,499,455,456,504,527
Profit before tax,"1,593","2,042","2,108","2,108","2,303","2,338","2,100",188,"1,933","2,524","1,975","2,305","1,550"
Tax %,22%,20%,26%,18%,24%,24%,23%,-73%,18%,20%,26%,20%,21%
Net Profit +,"1,245","1,630","1,555","1,721","1,746","1,788","1,613",325,"1,584","2,029","1,467","1,834","1,222"
EPS in Rs,7.65,10.02,9.56,10.58,10.73,10.99,9.92,2.00,9.74,12.47,9.02,11.28,7.51
Raw PDF,,,,,,,,,,,,,
