0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,938","3,159","3,341","3,528","3,736","3,862","3,581","3,526","3,645","3,896","4,256","4,784","5,022"
Expenses +,"1,814","1,985","2,040","2,223","2,367","2,406","1,683","1,595","1,489","1,705","2,103","2,326","2,431"
Operating Profit,"1,123","1,174","1,301","1,305","1,369","1,456","1,898","1,931","2,156","2,191","2,152","2,458","2,591"
OPM %,38%,37%,39%,37%,37%,38%,53%,55%,59%,56%,51%,51%,52%
Other Income +,440,621,376,213,380,89,139,169,116,256,253,240,189
Interest,0,0,0,0,0,0,0,8,5,3,3,2,1
Depreciation,59,64,63,50,67,57,50,83,80,68,58,60,60
Profit before tax,"1,505","1,731","1,614","1,468","1,683","1,487","1,986","2,009","2,188","2,376","2,343","2,636","2,718"
Tax %,32%,34%,34%,39%,23%,32%,35%,21%,25%,24%,24%,23%,
Net Profit +,"1,029","1,148","1,058",898,"1,288","1,006","1,282","1,583","1,639","1,811","1,773","2,028","1,994"
EPS in Rs,122.44,136.48,125.04,105.80,151.35,117.77,149.51,184.29,190.48,210.00,205.16,233.98,229.94
Dividend Payout %,0%,0%,532%,95%,112%,110%,0%,98%,105%,90%,110%,103%,
