0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,940,958,"1,059","1,001","1,083","1,112","1,117","1,080","1,375","1,213","1,295","1,209","1,305"
Expenses +,429,465,488,525,550,540,564,579,589,594,578,606,652
Operating Profit,511,493,571,476,533,573,553,501,786,618,717,602,654
OPM %,54%,51%,54%,48%,49%,51%,50%,46%,57%,51%,55%,50%,50%
Other Income +,27,185,32,30,51,140,76,36,80,47,20,88,34
Interest,1,0,1,1,1,1,1,1,1,0,0,0,0
Depreciation,17,15,14,15,15,14,14,15,15,15,15,16,14
Profit before tax,520,663,587,491,568,697,614,522,850,650,721,674,673
Tax %,25%,19%,25%,27%,24%,22%,26%,25%,18%,26%,26%,26%,28%
Net Profit +,388,540,439,360,430,543,455,394,700,479,536,497,482
EPS in Rs,45.00,62.62,50.87,41.65,49.83,62.86,52.61,45.46,80.81,55.29,61.81,57.31,55.53
Raw PDF,,,,,,,,,,,,,
