0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,202,278,376,519,655,836,764,809,874,"1,077","1,360","1,586","1,479"
Borrowings +,101,163,157,95,88,69,85,176,127,110,406,185,207
Other Liabilities +,160,233,279,321,401,497,491,517,688,908,915,901,"1,013"
Total Liabilities,475,686,823,946,"1,154","1,412","1,351","1,513","1,700","2,107","2,693","2,683","2,710"
Fixed Assets +,132,173,217,217,236,238,301,406,386,402,485,488,500
CWIP,10,4,0,0,24,59,7,29,28,65,150,239,247
Investments,1,0,0,0,52,218,0,0,0,0,0,0,0
Other Assets +,331,509,606,729,842,898,"1,043","1,079","1,286","1,639","2,057","1,956","1,963"
Total Assets,475,686,823,946,"1,154","1,412","1,351","1,513","1,700","2,107","2,693","2,683","2,710"
