0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,190","1,111","1,341","1,228","1,200",965,"1,229","1,125","1,226",992,"1,278","1,246","1,313"
Expenses +,939,844,"1,043",990,"1,007",830,991,892,999,828,"1,034",965,"1,011"
Operating Profit,251,267,298,238,193,134,239,234,226,164,243,281,303
OPM %,21%,24%,22%,19%,16%,14%,19%,21%,18%,17%,19%,23%,23%
Other Income +,7,5,3,3,2,7,5,2,9,14,13,15,14
Interest,8,10,9,9,10,14,13,11,10,10,12,11,12
Depreciation,17,16,18,19,20,21,21,25,23,23,22,23,30
Profit before tax,233,246,275,213,164,107,210,199,202,145,222,262,275
Tax %,25%,23%,25%,24%,25%,26%,25%,25%,25%,25%,26%,26%,26%
Net Profit +,175,191,207,162,124,78,158,150,152,108,165,195,205
EPS in Rs,156.51,170.81,185.62,145.36,110.93,70.24,141.98,134.73,136.59,97.01,148.13,175.06,183.49
Raw PDF,,,,,,,,,,,,,
