0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,929,"1,035","1,102","1,225","1,307","1,483","1,545","1,669","1,669","1,631","2,691","2,847","3,002"
Expenses +,712,788,864,966,"1,026","1,107","1,207","1,296","1,315","1,364","2,371","2,434","2,525"
Operating Profit,217,248,238,259,281,376,338,373,354,267,320,413,477
OPM %,23%,24%,22%,21%,21%,25%,22%,22%,21%,16%,12%,15%,16%
Other Income +,31,39,24,11,-1,11,29,61,40,35,63,50,52
Interest,2,2,2,3,4,5,4,4,4,4,7,13,12
Depreciation,22,26,28,33,34,39,39,40,41,41,36,41,52
Profit before tax,224,259,231,233,242,344,323,389,348,256,340,409,464
Tax %,23%,25%,24%,25%,24%,25%,25%,23%,25%,28%,27%,30%,28%
Net Profit +,173,194,175,175,183,258,244,298,260,184,248,286,334
EPS in Rs,11.31,12.72,11.44,11.45,11.95,16.90,15.83,19.39,16.88,11.94,16.09,18.49,21.57
Raw PDF,,,,,,,,,,,,,
