0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,750,750,750,750,750,"1,500","1,500","1,500","1,500","1,500","1,500","1,500","1,500"
Reserves,"3,700","4,236","4,939","5,864","7,344","8,220","8,566","9,453","10,150","11,925","13,435","15,463","16,995"
Borrowings +,"3,034","3,267","2,654","2,615","2,218","1,453",733,"3,690","3,653","3,438","3,345","3,008","2,810"
Other Liabilities +,"3,599","3,660","2,781","3,198","3,517","4,480","4,285","4,056","3,630","4,258","4,210","5,131","4,421"
Total Liabilities,"11,083","11,913","11,124","12,426","13,829","15,654","15,085","18,699","18,933","21,122","22,490","25,102","25,726"
Fixed Assets +,"2,358","6,265","6,943","6,811","8,423","8,030","7,665","11,188","10,313","9,557","8,790","8,147","7,753"
CWIP,"4,331",880,747,"1,550",49,220,348,5,25,193,"1,126","1,552","1,875"
Investments,140,140,90,90,"2,935","4,122",989,349,"1,550","1,050","1,044",175,456
Other Assets +,"4,255","4,628","3,344","3,975","2,422","3,282","6,082","7,157","7,044","10,322","11,529","15,227","15,642"
Total Assets,"11,083","11,913","11,124","12,426","13,829","15,654","15,085","18,699","18,933","21,122","22,490","25,102","25,726"
