0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,185.87,194.37,218.51,237.19,233.17,231.98,234.87,240.17,242.76,232.50,248.95,235.26,241.43
Expenses +,157.57,161.04,178.02,188.97,194.97,228.94,230.75,221.96,213.44,212.37,210.62,226.95,236.04
Operating Profit,28.30,33.33,40.49,48.22,38.20,3.04,4.12,18.21,29.32,20.13,38.33,8.31,5.39
OPM %,15.23%,17.15%,18.53%,20.33%,16.38%,1.31%,1.75%,7.58%,12.08%,8.66%,15.40%,3.53%,2.23%
Other Income +,43.93,14.10,66.60,1.26,43.62,48.20,6.46,162.97,120.42,44.18,4.25,164.18,9.47
Interest,2.17,1.96,1.89,1.81,1.73,1.53,1.22,1.07,1.22,1.41,1.08,1.10,1.43
Depreciation,4.31,4.37,4.42,4.52,4.86,4.71,4.92,5.43,5.28,5.50,5.22,5.36,5.42
Profit before tax,65.75,41.10,100.78,43.15,75.23,45.00,4.44,174.68,143.24,57.40,36.28,166.03,8.01
Tax %,14.45%,23.04%,10.99%,28.23%,14.01%,22.22%,16.44%,3.56%,5.79%,9.98%,30.24%,0.90%,26.09%
Net Profit +,56.25,31.63,89.70,30.97,64.69,35.00,3.71,168.47,134.94,51.67,25.31,164.54,5.92
EPS in Rs,2.01,1.13,3.20,1.10,2.31,1.25,0.13,6.01,4.81,1.84,0.90,5.87,0.21
Raw PDF,,,,,,,,,,,,,
