0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"44,376","46,567","45,660","38,746","44,452","57,558","66,967","61,661","69,110","103,473","104,447","105,375","101,120"
Expenses +,"39,977","43,744","40,986","41,578","44,366","52,868","57,188","51,414","56,344","82,129","96,425","94,243","90,496"
Operating Profit,"4,398","2,823","4,673","-2,831",86,"4,691","9,779","10,247","12,766","21,344","8,022","11,131","10,624"
OPM %,10%,6%,10%,-7%,0%,8%,15%,17%,18%,21%,8%,11%,11%
Other Income +,993,"3,086",913,527,271,438,98,165,"1,032",667,"1,614",308,402
Interest,748,968,"1,454","2,300","2,528","2,823","3,155","3,487","2,817","1,698","2,037","2,474","2,771"
Depreciation,"1,403","1,717","1,773","2,402","2,680","3,065","3,385","3,755","4,102","4,274","4,963","5,277","5,482"
Profit before tax,"3,241","3,225","2,359","-7,008","-4,851",-759,"3,338","3,171","6,879","16,039","2,637","3,688","2,773"
Tax %,33%,19%,11%,-43%,-42%,-37%,35%,36%,44%,25%,28%,26%,
Net Profit +,"2,170","2,616","2,093","-4,021","-2,833",-482,"2,179","2,022","3,850","12,015","1,903","2,733","1,981"
EPS in Rs,5.25,6.33,5.07,-9.74,-6.86,-1.17,5.27,4.89,9.32,29.09,4.61,6.62,4.80
Dividend Payout %,38%,32%,39%,0%,0%,0%,9%,0%,30%,30%,33%,30%,
