0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,31,31,31,31,31,62,62,62,62,62,62,62,62
Reserves,161,204,252,355,527,676,880,"1,028","1,290","1,539","2,023","2,443","2,424"
Borrowings +,59,0,0,0,0,0,0,58,73,138,185,225,206
Other Liabilities +,106,152,182,214,158,207,201,241,291,430,493,457,493
Total Liabilities,356,387,465,600,715,945,"1,143","1,389","1,717","2,169","2,764","3,187","3,185"
Fixed Assets +,99,97,98,107,108,94,101,147,170,272,334,396,356
CWIP,21,13,3,2,1,2,0,1,7,22,7,2,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,236,277,364,491,607,848,"1,042","1,241","1,540","1,876","2,423","2,789","2,829"
Total Assets,356,387,465,600,715,945,"1,143","1,389","1,717","2,169","2,764","3,187","3,185"
