0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,605,772,849,"1,075","1,237","1,386","1,597","1,610","1,826","2,471","3,145","3,552","3,727"
Expenses +,535,635,672,827,964,"1,039","1,181","1,266","1,303","1,704","2,182","2,505","2,700"
Operating Profit,70,137,177,248,274,347,416,344,524,767,962,"1,047","1,027"
OPM %,12%,18%,21%,23%,22%,25%,26%,21%,29%,31%,31%,29%,28%
Other Income +,-10,16,4,12,18,43,43,58,40,45,74,122,170
Interest,5,3,1,1,1,1,1,7,7,10,17,21,19
Depreciation,24,35,25,23,27,25,25,43,44,55,81,99,108
Profit before tax,32,115,156,236,264,364,433,352,512,745,938,"1,049","1,069"
Tax %,34%,35%,34%,34%,34%,34%,33%,27%,28%,26%,19%,24%,
Net Profit +,21,75,103,155,175,240,290,256,368,550,755,792,809
EPS in Rs,3.37,12.06,16.52,24.85,28.05,38.54,46.56,41.12,59.11,88.26,121.26,127.21,129.97
Dividend Payout %,74%,37%,33%,28%,29%,29%,29%,40%,81%,48%,50%,55%,
