0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,635,682,726,763,818,838,850,882,914,906,926,955,939
Expenses +,425,460,488,537,571,588,599,618,644,645,674,689,693
Operating Profit,211,221,238,227,247,250,251,264,270,261,252,266,247
OPM %,33%,32%,33%,30%,30%,30%,30%,30%,30%,29%,27%,28%,26%
Other Income +,7,18,10,19,19,26,22,31,35,34,32,64,40
Interest,3,3,3,4,4,4,4,6,6,5,5,5,5
Depreciation,14,16,17,22,21,21,21,25,25,28,27,27,26
Profit before tax,200,220,228,219,240,250,248,264,274,262,252,299,256
Tax %,25%,27%,19%,20%,19%,19%,24%,24%,25%,25%,27%,23%,22%
Net Profit +,151,160,185,174,195,202,189,200,206,197,184,229,199
EPS in Rs,24.24,25.69,29.66,27.98,31.26,32.36,30.32,32.12,33.15,31.62,29.56,36.84,31.95
Raw PDF,,,,,,,,,,,,,
