0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"6,002","16,266","19,163","20,970","23,165","23,692","27,228","29,225","29,641","35,761","42,657","42,099","43,294"
Expenses +,"4,826","12,716","15,894","17,592","19,494","19,793","22,059","25,481","24,311","29,970","37,888","39,726","39,421"
Operating Profit,"1,176","3,551","3,268","3,378","3,672","3,899","5,169","3,744","5,330","5,792","4,770","2,374","3,873"
OPM %,20%,22%,17%,16%,16%,16%,19%,13%,18%,16%,11%,6%,9%
Other Income +,-93,201,184,"1,094",893,"1,728",960,"2,322",922,"1,447","1,128","1,252","1,441"
Interest,109,87,48,53,64,71,43,67,63,69,181,246,236
Depreciation,157,427,473,542,622,656,659,667,662,740,813,815,835
Profit before tax,817,"3,238","2,930","3,876","3,879","4,900","5,427","5,332","5,527","6,429","4,904","2,565","4,243"
Tax %,20%,17%,23%,18%,21%,18%,19%,15%,23%,22%,23%,17%,
Net Profit +,652,"2,686","2,256","3,173","3,047","3,994","4,380","4,534","4,239","5,023","3,778","2,129","3,291"
EPS in Rs,12.73,28.76,23.48,32.78,31.28,40.77,44.54,46.95,43.78,51.69,38.78,21.79,33.65
Dividend Payout %,10%,17%,26%,37%,29%,34%,31%,32%,103%,58%,129%,184%,
