0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"9,279","9,560","10,133","10,599","10,988","10,938","10,697","10,440","10,699","10,411","10,630","11,077","11,176"
Expenses +,"7,683","8,309","8,820","9,581","9,593","9,895","9,911","10,102","10,089","9,713","9,678","10,031","9,999"
Operating Profit,"1,596","1,251","1,313","1,018","1,395","1,043",787,337,610,698,952,"1,046","1,177"
OPM %,17%,13%,13%,10%,13%,10%,7%,3%,6%,7%,9%,9%,11%
Other Income +,416,244,144,536,369,80,201,514,258,273,123,870,175
Interest,15,19,28,38,58,57,54,58,76,59,51,66,60
Depreciation,173,216,206,210,195,202,205,206,208,204,202,212,217
Profit before tax,"1,824","1,260","1,224","1,306","1,510",864,729,587,583,707,822,"1,638","1,075"
Tax %,25%,13%,23%,27%,20%,22%,23%,5%,11%,25%,24%,22%,20%
Net Profit +,"1,375","1,090",940,956,"1,204",677,560,556,517,527,625,"1,280",858
EPS in Rs,14.17,11.22,9.67,9.83,12.37,6.95,5.74,5.70,5.29,5.40,6.39,13.09,8.77
Raw PDF,,,,,,,,,,,,,
