0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,472,472,472,481,481,481,481,481,481,481,481,481,481
Reserves,"5,618","5,704","6,436","5,978","6,404","7,212","8,456","8,707","9,771","9,485","10,539","11,558","12,825"
Borrowings +,"4,919","6,149","5,629","8,392","8,666","9,216","9,116","8,340","7,200","7,908","8,430","9,744","9,166"
Other Liabilities +,"2,675","2,969","3,318","4,650","5,064","5,193","5,772","5,352","5,327","5,730","6,538","7,409","8,397"
Total Liabilities,"13,685","15,294","15,856","19,501","20,615","22,102","23,825","22,880","22,778","23,605","25,988","29,191","30,869"
Fixed Assets +,"7,278","9,298","9,100","14,907","16,599","16,806","17,012","15,791","15,582","14,307","14,766","16,143","16,042"
CWIP,"2,075",118,166,204,323,393,359,568,838,"1,186","1,609",816,916
Investments,"1,713","2,612","2,658",695,754,989,"1,162","1,021",781,"1,414","2,494","2,742","2,975"
Other Assets +,"2,620","3,266","3,932","3,694","2,939","3,915","5,291","5,500","5,578","6,697","7,119","9,490","10,936"
Total Assets,"13,685","15,294","15,856","19,501","20,615","22,102","23,825","22,880","22,778","23,605","25,988","29,191","30,869"
