0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,318","3,841","3,735","3,665","4,617","4,566","5,220","4,699","4,519","6,919","6,267","6,730","6,785"
Expenses +,"2,763","3,109","3,074","2,935","3,732","3,714","4,242","3,858","3,705","5,424","5,349","5,795","5,920"
Operating Profit,555,732,661,730,886,852,977,841,814,"1,495",918,935,866
OPM %,17%,19%,18%,20%,19%,19%,19%,18%,18%,22%,15%,14%,13%
Other Income +,22,12,34,33,106,62,46,24,40,15,24,96,62
Interest,235,210,206,145,141,118,112,111,72,86,77,154,176
Depreciation,261,268,321,337,412,404,364,333,336,333,310,360,368
Profit before tax,81,265,168,282,438,392,547,421,445,"1,092",554,516,384
Tax %,39%,26%,30%,14%,23%,32%,32%,19%,22%,25%,24%,25%,
Net Profit +,49,197,118,242,337,266,371,342,346,815,422,390,299
EPS in Rs,0.16,0.63,0.23,0.48,0.66,0.52,0.73,0.67,0.68,1.60,0.83,0.76,0.58
Dividend Payout %,0%,5%,26%,19%,23%,29%,41%,54%,53%,23%,43%,47%,
