0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,958","1,847","1,667","1,419","1,618","1,563","1,467","1,761","1,823","1,679","1,735","1,709","1,663"
Expenses +,"1,555","1,520","1,413","1,276","1,346","1,315","1,239","1,522","1,564","1,471","1,511","1,484","1,453"
Operating Profit,403,328,254,143,273,248,228,240,259,208,224,225,210
OPM %,21%,18%,15%,10%,17%,16%,16%,14%,14%,12%,13%,13%,13%
Other Income +,-22,6,5,5,6,8,11,50,14,21,15,11,15
Interest,22,18,18,20,18,22,31,34,40,49,46,46,34
Depreciation,78,81,76,77,78,79,87,88,89,95,91,91,92
Profit before tax,281,234,165,51,183,156,121,168,144,84,102,99,99
Tax %,26%,26%,25%,22%,22%,25%,25%,24%,25%,24%,28%,16%,21%
Net Profit +,209,174,124,40,142,116,90,128,107,64,74,83,78
EPS in Rs,0.41,0.34,0.24,0.08,0.28,0.23,0.18,0.25,0.21,0.13,0.14,0.16,0.15
Raw PDF,,,,,,,,,,,,,
