0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"12,471","15,168","14,715","13,482","15,008","18,112","17,225","15,476","16,134","19,806","17,532","14,905","16,328"
Expenses +,"10,249","12,225","11,786","11,766","12,863","14,881","14,225","13,025","12,985","15,786","14,551","12,973","13,550"
Operating Profit,"2,221","2,943","2,929","1,716","2,145","3,231","3,000","2,451","3,149","4,020","2,981","1,933","2,778"
OPM %,18%,19%,20%,13%,14%,18%,17%,16%,20%,20%,17%,13%,17%
Other Income +,109,145,166,165,158,151,209,158,140,82,211,182,206
Interest,165,175,200,187,194,175,192,211,237,227,220,282,342
Depreciation,609,637,628,643,654,733,720,768,754,786,814,850,857
Profit before tax,"1,556","2,276","2,268","1,051","1,456","2,475","2,297","1,631","2,298","3,090","2,158",982,"1,786"
Tax %,-5%,-8%,31%,32%,32%,33%,25%,25%,25%,27%,21%,19%,20%
Net Profit +,"1,632","2,454","1,554",718,994,"1,658","1,714","1,221","1,718","2,252","1,708",797,"1,434"
EPS in Rs,56.52,85.01,53.83,24.89,34.44,57.42,59.39,42.28,59.51,78.01,59.17,27.60,49.68
Raw PDF,,,,,,,,,,,,,
