0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,521","2,642","2,731","2,387","2,294","2,428","2,263","2,334","2,289","2,413","2,270","2,455","2,404"
Expenses +,"1,911","2,135","2,220","2,038","2,127","2,170","2,045","2,134","2,051","2,110","1,926","2,140","2,094"
Operating Profit,610,507,511,349,167,258,218,200,237,303,344,315,310
OPM %,24%,19%,19%,15%,7%,11%,10%,9%,10%,13%,15%,13%,13%
Other Income +,231,48,22,29,68,73,92,91,86,64,65,110,73
Interest,21,29,26,25,21,30,32,22,19,28,18,18,19
Depreciation,91,91,92,97,97,103,103,102,98,95,96,99,100
Profit before tax,729,435,415,256,117,199,174,167,206,244,295,309,264
Tax %,20%,26%,25%,24%,22%,24%,25%,23%,22%,23%,23%,29%,23%
Net Profit +,584,323,313,195,91,150,131,128,161,187,227,220,204
EPS in Rs,20.25,11.17,10.84,6.74,3.13,5.20,4.55,4.44,5.57,6.45,7.85,7.60,7.04
Raw PDF,,,,,,,,,,,,,
